#This file maps hg38's rsem gene IDs to gene symbols
#Nir + Michael (Header), March 2015
#Gene RSEM ID	Gene Sybmol	Nir Type
gene1479	HS2ST1	1
gene39252	CRELD2	1
gene22596	CD82	1
gene12104	SPINK14	1
gene36318	LIM2	1
gene17990	MMP16	1
gene36646	MIMT1	2
gene3528	LOC100287497	3
gene39946	RPL7AP71	1
gene7952	DRD3	1
gene23622	C11orf73	1
gene729	PTP4A2	1
gene760	HPCA	1
gene25564	METTL25	1
gene4245	EMILIN1	1
gene11075	NDUFS4	1
gene11144	NDUFB4P2	1
gene19974	C9orf16	1
gene11195	ERBB2IP	1
gene21703	EMX2	1
gene6655	RPL3P5	1
gene38080	LOC101928126	2
gene8237	TF	1
gene39401	CLCN4	1
gene37830	FGF7P2	1
gene32260	ELAC2	1
gene20041	ASS1	1
gene14974	USP42	1
gene6269	gene6269	3
gene15766	LOC644794	3
gene30832	TRNAL27	3
gene14766	LOC729603	1
gene6268	ADAM23	1
gene17732	LOC101929576	2
gene34946	SNORD105	2
gene17557	IDO2	1
gene45069	HLA-J_variant1	1
gene43587	HLA-J_variant2	1
gene45767	HLA-J_variant3	1
gene45400	HLA-J_variant4	1
gene44751	HLA-J_variant5	1
gene44305	HLA-J_variant6	1
gene13253	HLA-J_variant7	1
gene41972	HLA-J_variant8	1
gene16011	RPS27P17	1
gene29299	FSIP1	1
gene5076	LOC654342	1
gene1967	LOC100996318	1
gene27209	UPF3A	1
gene18918	UNC13B	1
gene15231	MIR550B1	2
gene15507	FLJ45974	2
gene7830	LOC102724887	2
gene33753	DNAH17-AS1	2
gene10304	LOC345051	3
gene10152	CETN4P	1
gene3718	LOC101927765	2
gene18038	PDP1	1
gene2378	MIR8083	2
gene20990	LRRTM3	1
gene36251	IZUMO2	1
gene22700	TRIM64C	1
gene19558	HABP4	1
gene955	TMEM125	1
gene19505	MIR548AU	2
gene3273	CNTN2	1
gene6860	MIR885	2
gene2051	LOC729086	1
gene22736	OR4A4P	1
gene23729	FUT4	1
gene13008	TRNAS2	3
gene30784	SALL4P3	1
gene15270	RP9	1
gene23452	ARAP1	1
gene31401	CDH8	1
gene5982	AGPS	1
gene6708	PP14571	2
gene13917	LOC101059958	1
gene25837	UNG	1
gene23327	GSTP1	1
gene19617	NAMA	2
gene18853	TRBV22OR9-2	4
gene46027	LILRA6_variant1	1
gene43145	LILRA6_variant2	1
gene45970	LILRA6_variant3	1
gene36514	LILRA6_variant4	1
gene22207	DNHD1	1
gene34387	MIR122	2
gene19510	LOC101928040	2
gene17164	LOC101060075	1
gene36357	ZNF350	1
gene35129	C19orf67	1
gene13631	NCR2	1
gene32961	KRT15	1
gene30448	SNORA78	2
gene1545	GFI1	1
gene40810	FHL1	1
gene27299	OSGEP	1
gene41387	TTTY14	2
gene31291	IRX3	1
gene7258	XCR1	1
gene2684	TRNAG23	3
gene7388	RBM6	1
gene24917	MIR4698	2
gene39290	LOC101928892	1
gene19703	KLF4	1
gene28750	IGHV3-13_variant1	4
gene42602	IGHV3-13_variant2	4
gene32999	MIR5010	2
gene13616	UNC5CL	1
gene4956	KRCC1	1
gene36859	PRND	1
gene32301	PIGL	1
gene2181	LOC642441	1
gene38650	IGLV3-26	4
gene15819	DNAJC30	1
gene15472	HUS1	1
gene36632	ZNF667	1
gene40565	ZCCHC12	1
gene26732	ATP7B	1
gene19097	LOC101927448	2
gene16336	TFEC	1
gene4773	C2orf78	1
gene30764	ABCC6P1	1
gene30760	MIR3180-3	2
gene28159	ACOT2	1
gene31267	gene31267	3
gene42460	RPS6P19_variant1	1
gene25730	RPS6P19_variant2	1
gene12973	HIST1H4I	1
gene16461	TRNAP15	3
gene29920	ETFA	1
gene35660	ZNF146	1
gene34580	POLRMT	1
gene27759	MIA2	1
gene8716	KLHL6	1
gene30231	LOC440311	1
gene33213	HOXB5	1
gene3406	NENF	1
gene25179	GTSF1	1
gene12191	gene12191	3
gene40609	CUL4B	1
gene42079	LOC100510709	1
gene11859	PITX1	1
gene14566	LOC100132735	2
gene21101	DNAJC9	1
gene35682	ZNF568	1
gene5483	LOC100506922	1
gene31886	LOC653486_variant1	1
gene42869	LOC653486_variant2	1
gene23226	EHBP1L1	1
gene31325	MT1DP	1
gene4790	DCTN1	1
gene38947	LOC102723507	2
gene10667	DUX4L3	1
gene19138	LOC102724042	1
gene15451	LOC101929038	2
gene39584	MIR4666B	2
gene7305	NDUFB1P1	1
gene1890	TRIM45	1
gene19117	LOC100126582	3
gene17843	LOC392232	1
gene14758	TCP1	1
gene11653	TMED7	1
gene27615	CMA1	1
gene25540	PAWR	1
gene32744	TBC1D3B_variant1	1
gene42918	TBC1D3B_variant2	1
gene43971	TBC1D3B_variant3	1
gene6392	CXCR2P1	1
gene14185	LINC00577	2
gene26821	PCDH9-AS4	2
gene14629	TAB2	1
gene12233	RPL26P18	1
gene9224	gene9224	3
gene40078	KIF4A	1
gene4598	FAM161A	1
gene32611	CPD	1
gene8925	LINC01063	2
gene11711	SNCAIP	1
gene26992	DCT	1
gene7979	UPK1B	1
gene6623	UGT1A8	1
gene4348	ATP6V0E1P3	1
gene2796	LOC102724466	2
gene6361	PECR	1
gene30367	WFIKKN1	1
gene28021	HSPA2	1
gene8420	SERP1	1
gene29836	C15orf60	1
gene19065	CNTNAP3B	1
gene43480	TRNAF9_variant1	3
gene44211	TRNAF9_variant2	3
gene45668	TRNAF9_variant3	3
gene41897	TRNAF9_variant4	3
gene44648	TRNAF9_variant5	3
gene13146	TRNAF9_variant6	3
gene45302	TRNAF9_variant7	3
gene44978	TRNAF9_variant8	3
gene9518	GLDCP1	1
gene38928	gene38928	3
gene33647	NUP85	1
gene9809	LOC101928978	2
gene23709	SNORA18	2
gene35919	CD177	1
gene27332	EDDM3B	1
gene28864	IGHV3-79	4
gene25486	LGR5	1
gene20436	RNU6-2	2
gene1718	SCARNA2	1
gene27577	LRRC16B	1
gene6971	RAB5A	1
gene42453	FLJ13224_variant1	2
gene24800	FLJ13224_variant2	2
gene27581	DCAF11	1
gene21516	LBX1-AS1	2
gene35034	LOC101928464	2
gene5657	LRP1B	1
gene42981	MIR4727_variant1	2
gene32821	MIR4727_variant2	2
gene32077	XAF1	1
gene14430	TMEM244	1
gene32335	LOC101928660	2
gene30134	LOC102724566	2
gene29698	ANKDD1A	1
gene35097	DAND5	1
gene20522	CASC10	1
gene45346	RPS17P1_variant1	1
gene44251	RPS17P1_variant2	1
gene45721	RPS17P1_variant3	1
gene45020	RPS17P1_variant4	1
gene13199	RPS17P1_variant5	1
gene44697	RPS17P1_variant6	1
gene43533	RPS17P1_variant7	1
gene41930	RPS17P1_variant8	1
gene20538	SPAG6	1
gene5189	LOC102724486	2
gene16894	ZBED6CL	1
gene25972	CCDC60	1
gene7577	THOC7	1
gene42396	OR8K3_variant1	1
gene22813	OR8K3_variant2	1
gene18044	RPS4XP10	1
gene17160	MIR4660	2
gene38645	GGTLC2	1
gene42765	B2M_variant1	1
gene29439	B2M_variant2	1
gene6116	gene6116	3
gene1624	LPPR4	1
gene40901	MIR891B	2
gene18314	SQLE	1
gene18962	GLIPR2	1
gene5476	YWHAZP2	1
gene10375	PLRG1	1
gene36359	ZNF614	1
gene790	ZMYM6NB	1
gene34553	PARD6G	1
gene36	FAM41C	2
gene39713	MIR221	2
gene20618	PTCHD3P1	1
gene12122	GRPEL2	1
gene849	INPP5B	1
gene18062	MIR3150A	2
gene14532	IL20RA	1
gene14106	UBE2J1	1
gene27474	TRAJ38	3
gene33867	UTS2R	1
gene34770	SAFB2	1
gene38980	LOC100506271	2
gene19749	DNAJC25	1
gene24482	KLRG1	1
gene6341	MIR4776-2	2
gene5141	NEURL3	1
gene18008	LOC102724670	2
gene31447	E2F4	1
gene34853	CLEC4M	1
gene24991	LOC102723916	2
gene28176	RPL41P4	1
gene4578	LINC01185	2
gene29072	SNORD115-14	2
gene16051	TAC1	1
gene10284	GYPA	1
gene35688	LOC284412	2
gene7382	TRAIP	1
gene7397	SEMA3B-AS1	2
gene34609	GPX4	1
gene24374	PKP2P1	1
gene20821	LOC102724350	2
gene34503	FAUP1	1
gene205	GPR157	1
gene40434	FAM199X	1
gene23892	ALG9	1
gene33598	SDK2	1
gene9552	RPS6P5	1
gene1372	RABGGTB	1
gene33288	ANKRD40	1
gene8879	LOC285303	1
gene11599	LOC100289673	1
gene33227	CALCOCO2	1
gene9871	SNCA	1
gene30097	LOC101929641	2
gene8818	LPP-AS1	2
gene4250	C2orf53	1
gene17126	FAM90A19P	1
gene28227	ESRRB	1
gene2772	LOC284685	1
gene39744	CDK16	1
gene33705	PRCD	1
gene28632	TDRD9	1
gene24538	KLRC4	1
gene19868	OR1L3	1
gene32730	LYZL6_variant1	1
gene42904	LYZL6_variant2	1
gene12081	PLAC8L1	1
gene3285	LEMD1-AS1	2
gene32515	WSB1	1
gene8840	OSTN	1
gene7737	PROS1	1
gene27894	SOCS4	1
gene27613	SDR39U1	1
gene4314	LOC285043	3
gene33478	CSHL1	1
gene1249	MGC34796	1
gene33040	VAT1	1
gene39289	SHANK3	1
gene9172	OR7E84P	1
gene22787	OR7E5P	1
gene30233	LOC102724815	2
gene34568	THEG	1
gene8121	gene8121	3
gene9257	KRT18P63	1
gene39025	TOMM22	1
gene6276	CPO	1
gene1322	LOC101929986	2
gene5330	MALL	1
gene36057	DACT3-AS1	2
gene23007	TMEM132A	1
gene2328	LCE1E	1
gene995	RNU5D-1	2
gene32656	LOC100506596	3
gene27886	CGRRF1	1
gene24388	PIANP	1
gene6259	SNORD51	2
gene12947	TRNAA20_variant1	3
gene12952	TRNAA20_variant2	3
gene13867	TRNAA20_variant3	3
gene29357	RPAP1	1
gene23956	NXPE2	1
gene36604	NLRP9	1
gene5364	LOC100420892	1
gene43567	gene43567	3
gene14084	SLC35A1	1
gene23362	GAL	1
gene28071	RDH11	1
gene29421	SERF2-C15ORF63	2
gene28055	SF3B4P1	1
gene15641	LOC102724738	1
gene40302	RPS7P13	1
gene9854	gene9854	3
gene34351	MBD2	1
gene11113	RPL17P22	1
gene25695	RNU6-36P	2
gene14645	CCT7P1	1
gene12365	LOC285593	2
gene19664	OR13F1	1
gene8225	NPHP3	1
gene42724	gene42724	3
gene33660	TSEN54	1
gene15916	MAGI2-AS3	2
gene43040	STH_variant1	1
gene44003	STH_variant2	1
gene33142	STH_variant3	1
gene38931	HMGXB4	1
gene33775	CBX2	1
gene11778	RPL11P2	1
gene1494	RBMXL1	1
gene14855	LOC102724511	2
gene34156	DHFRP1	1
gene1353	RPL31P12	1
gene7074	CRTAP	1
gene27906	TBPL2	1
gene15872	STYXL1	1
gene35804	BLVRB	1
gene36717	A1BG-AS1	2
gene23531	TRNAP6	3
gene1210	RPSAP20	1
gene31491	RPS12P27	1
gene25692	MIR1251	2
gene37960	LINC00161	2
gene34332	MRO	1
gene23541	ACER3	1
gene15250	CCDC129	1
gene18068	LOC100500773	1
gene31232	C16orf78	1
gene23905	C11orf57	1
gene26419	URAD	1
gene1130	ZFYVE9	1
gene25240	WIBG	1
gene18940	GBA2	1
gene10971	LOC101929745	2
gene33122	FMNL1	1
gene18665	FLJ41200	2
gene4906	GNLY	1
gene35555	RPS4XP20	1
gene18276	FAM83A	1
gene10270	USP38	1
gene37779	LOC102724636	2
gene4241	TRNAY4	3
gene6134	LOC101927596	2
gene19961	AK1	1
gene17803	LOC102724708	1
gene18906	KIAA1045	1
gene45453	MUC22_variant1	1
gene44359	MUC22_variant2	1
gene42003	MUC22_variant3	1
gene43641	MUC22_variant4	1
gene44803	MUC22_variant5	1
gene45108	MUC22_variant6	1
gene13308	MUC22_variant7	1
gene45809	MUC22_variant8	1
gene6611	NEU2	1
gene24161	LOC102724440	2
gene2970	FAM20B	1
gene10998	SNORD72	2
gene27595	NEDD8-MDP1	1
gene16897	ZNF775	1
gene37736	UCKL1	1
gene22278	SNORA23	2
gene8097	ALDH1L1	1
gene23291	RBM4B	1
gene6742	THAP4	1
gene38278	KRTAP10-5	1
gene13936	OGFRL1	1
gene6305	TPT1P2	1
gene29307	BMF	1
gene12976	TRNAV20	3
gene41416	RBMY1A1	1
gene33089	gene33089	3
gene35403	LOC102724570	1
gene15084	LOC102724115	2
gene39369	NLGN4X	1
gene29024	SNORD109A	2
gene18263	gene18263	3
gene9548	LARP1BP1	1
gene34273	SIGLEC15	1
gene16822	LOC442744	1
gene4466	LOC101926974	2
gene38377	LOC101929674	1
gene1891	RPS15AP9	1
gene315	PRAMEF14	1
gene14955	SLC29A4	1
gene15394	URGCP	1
gene6963	LOC101929587	1
gene22556	TRAF6	1
gene1454	LPAR3	1
gene11748	LMNB1	1
gene5820	RPL7P61	1
gene29410	CKMT1B	1
gene39237	FAM19A5	1
gene2412	SHE	1
gene21314	IFIT1B	1
gene13937	gene13937	3
gene5434	LOC101927709	2
gene18034	RBM12B-AS1	2
gene20337	AKR1E2	1
gene25399	MIR548Z	2
gene19603	MIR6854	2
gene27866	PTGER2	1
gene9253	FAM184B	1
gene4269	IFT172	1
gene12735	GFOD1	1
gene10539	ADAM29	1
gene1802	ST7L	1
gene30005	C15orf26	1
gene37102	NCOR1P1	1
gene20738	gene20738	3
gene4602	COMMD1	1
gene35434	LOC100996349	1
gene19366	NTRK2	1
gene30130	MFGE8	1
gene3331	PFKFB2	1
gene14063	RPL7P27	1
gene39059	ENTHD1	1
gene37707	LOC102723814	2
gene28957	RPS8P10	1
gene28142	DCAF4	1
gene17688	PSMC6P1	1
gene43948	LOC100996255_variant1	2
gene29220	LOC100996255_variant2	2
gene4315	LCLAT1	1
gene21397	PDLIM1	1
gene4268	KRTCAP3	1
gene33189	LOC102724532	2
gene8253	CEP63	1
gene564	CLIC4	1
gene21267	LOC102723782	2
gene26459	ALOX5AP	1
gene27608	RIPK3	1
gene36698	C19orf18	1
gene43829	TAS2R9_variant1	1
gene24552	TAS2R9_variant2	1
gene42423	TAS2R9_variant3	1
gene35979	APOC1P1	1
gene32455	LOC100996294	2
gene38132	MRPL20P1	1
gene10394	ASIC5_variant1	1
gene41815	ASIC5_variant2	1
gene416	ATP13A2	1
gene34167	LOC440489	1
gene25106	KRT4	1
gene26188	gene26188	3
gene35657	CAPNS1	1
gene26797	PCDH20	1
gene18399	KCNK9	1
gene15433	SNHG15	2
gene28561	MIR544A	2
gene14120	MIR4464	2
gene30565	OR2C1	1
gene335	EFHD2	1
gene38996	GALR3	1
gene19288	RNY4P1	1
gene15520	EGFR	1
gene31521	CYB5B	1
gene5045	IGKV2D-26	4
gene10492	RPL6P12	1
gene36812	CPXM1	1
gene18372	NDRG1	1
gene25364	LOC102724280	2
gene24308	CACNA1C-AS1	2
gene37826	ANKRD30BP2	1
gene35960	ZNF285	1
gene30118	MRPL46	1
gene6735	FARP2	1
gene40212	CYSLTR1	1
gene29611	CCNB2	1
gene15322	TRGJP2	1
gene26217	ZNF10	1
gene8994	TMEM175	1
gene10356	TIGD4	1
gene9348	FLJ13197	2
gene30945	SLX1B-SULT1A4	2
gene39130	CYP2D8P_variant1	1
gene44553	CYP2D8P_variant2	1
gene43262	CYP2D8P_variant3	1
gene6284	CREB1	1
gene41862	LOC100653061	1
gene32152	NAA38	1
gene19258	C9orf57	1
gene12946	TRNAI25_variant1	3
gene13869	TRNAI25_variant2	3
gene21735	MIR4682	2
gene19770	FAM225A	2
gene25358	PGBD3P1	1
gene2887	SLC25A38P1	1
gene17220	LOC392196	1
gene8095	ROPN1B	1
gene27053	FKSG29	2
gene32315	ZNF624	1
gene22313	MIR4299	2
gene6734	SEPT2	1
gene44065	LOC102725017	1
gene1456	MCOLN3	1
gene11675	LINC00992	2
gene240	MASP2	1
gene38815	ZNRF3	1
gene33696	QRICH2	1
gene5394	PSD4	1
gene27291	CCNB1IP1	1
gene4423	KCNG3	1
gene10035	ENPEP	1
gene42358	SCT_variant1	1
gene21942	SCT_variant2	1
gene110	SKI	1
gene3186	SHISA4	1
gene8724	CYP2AB1P	1
gene31848	DBNDD1	1
gene23706	SNORA1	2
gene8291	FAIM	1
gene38675	IGLV2-5	4
gene963	SZT2	1
gene1519	LOC149351	3
gene12327	GABRP	1
gene39261	LOC101928719	2
gene29436	EIF3J	1
gene42875	LOC102724981	1
gene36085	ZNF541	1
gene38963	PVALB_variant1	1
gene43253	PVALB_variant2	1
gene1640	RTCA	1
gene19977	MIR199B	2
gene43920	LOC102725021	2
gene27176	F10	1
gene3560	LOC101927247	2
gene35304	COMP	1
gene36595	ZNF865	1
gene7433	IQCF6	1
gene24531	TMEM52B	1
gene573	LOC101928189	2
gene1076	TAL1	1
gene15755	LOC493754	1
gene8725	ABCC5	1
gene3092	gene3092	3
gene7560	PTPRG	1
gene41761	gene41761	3
gene13580	CMTR1	1
gene16487	UBE2H	1
gene1532	BRDT	1
gene39920	FAM156A	1
gene42280	C8orf31_variant1	1
gene18442	C8orf31_variant2	1
gene25432	LOC102724433	2
gene18055	CCNE2	1
gene38481	CDC45	1
gene8124	MIR6825	2
gene3537	LOC101927185	2
gene39213	gene39213	3
gene38	LOC284600	3
gene21605	LOC102724439	2
gene2494	CCT3	1
gene34921	ZNF121	1
gene11806	RAD50	1
gene39376	MIR4767	2
gene39514	MBTPS2	1
gene28499	SNORD113-6	2
gene14666	MTHFD1L	1
gene25845	MVK	1
gene19009	LOC101927042	2
gene6568	NCL	1
gene35374	LOC102724456_variant1	2
gene43084	LOC102724456_variant2	2
gene40471	PSMD10	1
gene7154	MOBP	1
gene21979	KRTAP5-3_variant1	1
gene43819	KRTAP5-3_variant2	1
gene42366	KRTAP5-3_variant3	1
gene42714	IGHVIII-76-1_variant1	4
gene28861	IGHVIII-76-1_variant2	4
gene6866	HRH1	1
gene11575	C5orf30	1
gene4346	RASGRP3	1
gene38250	LOC284837	2
gene9786	RPL7AP26	1
gene32832	FBXO47	1
gene27441	TRDV2	4
gene24753	MED21	1
gene2470	SYT11	1
gene16800	OR2A25	1
gene24732	LRMP	1
gene23292	SPTBN2	1
gene6792	BHLHE40	1
gene32174	TRNAT22	3
gene42982	C17orf98_variant1	1
gene32822	C17orf98_variant2	1
gene15301	KIAA0895	1
gene40219	P2RY10	1
gene11894	NME5	1
gene19945	LRSAM1	1
gene6900	HDAC11	1
gene30856	MIR1273H	2
gene2416	ADAR	1
gene30338	HBM	1
gene16975	EN2	1
gene26350	MIR2276	2
gene18489	MIR6846	2
gene42086	TCTE3_variant1	1
gene14848	TCTE3_variant2	1
gene37369	TOX2	1
gene18666	LOC101929507	2
gene22199	LOC101927825	2
gene38523	MED15	1
gene23657	TRIM64DP	1
gene8027	CASR	1
gene16570	MTPN	1
gene3764	MT1HL1	1
gene20225	LOC101928638	1
gene23768	PGR	1
gene10400	LOC100505784	2
gene25175	GPR84	1
gene18592	SPATA6L	1
gene4283	BRE	1
gene41390	LOC102723934	1
gene705	SDC3	1
gene24173	TMEM218	1
gene10222	TERF1P3	1
gene15025	HSPA8P8	1
gene34542	FLJ25715_variant1	3
gene43076	FLJ25715_variant2	3
gene39266	MAPK11	1
gene39230	TBC1D22A	1
gene13002	ZNF204P	1
gene31923	MIR22_variant1	2
gene42892	MIR22_variant2	2
gene6096	NAB1	1
gene10164	RPL21P50	1
gene22598	TSPAN18	1
gene34913	ZNF559-ZNF177	1
gene32070	MED31	1
gene28879	MAFIP	1
gene41598	RNA5-8S5	1
gene14772	PLG	1
gene10947	CAPSL	1
gene23684	MIR1261	2
gene23578	gene23578	3
gene17726	CA8	1
gene16127	LAMTOR4	1
gene14213	LOC101927442	2
gene5391	IL36RN	1
gene20373	gene20373	3
gene26949	MIR4500	2
gene14881	LOC101927000	2
gene12738	NOL7	1
gene27719	BRMS1L	1
gene36846	PANK2	1
gene40369	TCP11X1	1
gene13647	TAF8	1
gene28418	MIR3173	2
gene29659	MIR190A	2
gene8696	LOC102724604	2
gene21868	ADAM8	1
gene17332	SFTPC	1
gene9051	RGS12	1
gene16605	LOC100499191	1
gene28824	IGHV3-52_variant1	4
gene42676	IGHV3-52_variant2	4
gene25368	LOC102724318	2
gene22389	SAA4	1
gene15101	RPL23P8	1
gene34435	ZCCHC2	1
gene33302	gene33302	3
gene28649	LOC102723342	2
gene12598	MGC39372	1
gene41784	MIR570_variant1	2
gene44189	MIR570_variant2	2
gene45283	MIR570_variant3	2
gene44629	MIR570_variant4	2
gene43398	MIR570_variant5	2
gene45641	MIR570_variant6	2
gene8893	MIR570_variant7	2
gene44959	MIR570_variant8	2
gene28917	LINC01193	2
gene4985	IGKV7-3	4
gene1720	C1orf194	1
gene14446	MIR548H5	2
gene38748	GUCD1	1
gene34396	OACYLP	1
gene16272	LOC102724339	2
gene44889	LOC100294188	1
gene13858	KIAA1586	1
gene17515	LOC101929604	2
gene1406	MGC27382	2
gene15249	NEUROD6	1
gene37723	SLC2A4RG	1
gene39453	CA5B	1
gene27404	TRAV12-3	4
gene26067	MPHOSPH9	1
gene30753	LOC102723692	2
gene29835	HCN4	1
gene35969	CEACAM19	1
gene28572	MIR541	2
gene21223	SH2D4B	1
gene28775	IGHVII-26-2_variant1	4
gene42627	IGHVII-26-2_variant2	4
gene7236	TGM4	1
gene18042	RPL6P23	1
gene32687	ZNF830	1
gene15037	LOC389465	1
gene39054	MGAT3	1
gene23806	LOC102723862	2
gene5054	IGKV6D-41	4
gene38661	IGLV3-17	4
gene20913	MIR605	2
gene11231	GTF2H2C_variant1	1
gene41854	GTF2H2C_variant2	1
gene41300	LOC101928693	1
gene15058	SOSTDC1	1
gene8484	KCNAB1-AS2	2
gene23767	TMEM133	1
gene22743	TRIM48	1
gene22533	LOC100216355	1
gene18410	LOC731779_variant1	2
gene42271	LOC731779_variant2	2
gene6591	ECEL1P2	1
gene25151	HOXC11	1
gene33528	HELZ	1
gene9	LOC101927589	1
gene17526	ADRB3	1
gene33390	PTRH2	1
gene26389	PRUNEP1	1
gene33306	C17orf112	1
gene25660	NDUFA12	1
gene42999	KRTAP2-4_variant1	1
gene32921	KRTAP2-4_variant2	1
gene10763	ADCY2	1
gene38957	LOC101926989	2
gene10014	SEC24B-AS1	2
gene40792	LOC644717	1
gene2901	KLHL20	1
gene41109	MIR1184-2	2
gene34980	MIR199A1	2
gene8416	LOC102724203	2
gene10795	ANKRD33B	1
gene36897	LOC101929288	2
gene5403	LOC729468	1
gene21293	LIPK	1
gene20204	LOC100128593	2
gene19156	ANKRD20A4	1
gene23261	KLC2	1
gene4889	ELMOD3	1
gene743	HDAC1	1
gene23095	RNU2-2P	2
gene28870	MIR3118-3	2
gene41098	MTCP1	1
gene40969	VMA21	1
gene40490	SNORD96B	2
gene37430	WFDC10B	1
gene21846	JAKMIP3	1
gene27495	TRAJ17	3
gene16341	CAV2	1
gene15391	LOC102724946	2
gene28194	AREL1	1
gene11760	LOC101929964	2
gene24968	MIR4701	2
gene35516	LOC101927299	2
gene33856	DUS1L	1
gene26026	KDM2B	1
gene3781	CHRM3	1
gene29514	USP50	1
gene1906	WARS2	1
gene928	RIMKLA	1
gene26359	LOC101927375	1
gene35976	TOMM40	1
gene14665	PDCL3P5	1
gene25905	MIR1302-1	2
gene43856	TUBGCP5_variant1	1
gene42737	TUBGCP5_variant2	1
gene28986	TUBGCP5_variant3	1
gene19285	gene19285	3
gene17203	C8orf49	2
gene5278	RGPD3	1
gene6937	BTD	1
