chr,start,end,CD8,Treg_Foxp3_all,oreganno
chr1,138475972,138476224,252.0,,
chr1,138497276,138497646,240.0,,
chr1,139703338,139703676,292.0,,
chr1,140032840,140033427,337.0,,
chr1,140040879,140041304,,425.0,
chr1,140071687,140072079,329.0,,
chr1,140200666,140201387,360.0,,
chr1,140456286,140456678,,392.0,
chr1,140515612,140516513,,,901.0
chr1,140835999,140836809,429.0,,
chr1,140870094,140870612,,518.0,
chr1,140872516,140872834,291.0,,
chr1,143780900,143781407,440.0,,
chr1,145853605,145854040,353.0,,
chr1,145880542,145880997,442.0,,
chr1,145923083,145923601,,518.0,
chr1,145923780,145924245,394.0,465.0,
chr1,146053499,146053804,,305.0,
chr1,146155281,146155801,,520.0,
chr1,146177363,146178077,,714.0,
chr1,146202715,146203371,355.0,,
chr1,152872175,152872743,,,379.0
chr1,152926139,152926377,,,238.0
chr1,153191159,153191907,561.0,,
chr1,153418358,153419447,,740.0,
chr1,154932119,154932844,442.0,,
chr1,155151177,155151591,,92.0,
chr1,155151930,155152217,,287.0,
chr1,155464280,155464974,,589.0,
chr1,155549923,155550321,,,229.0
chr1,156897883,156898645,,762.0,
chr1,157006390,157006659,,269.0,
chr1,157423527,157423913,,,350.0
chr1,157882981,157883927,539.0,,20.0
chr1,158338002,158338619,441.0,,
chr1,158682402,158683390,325.0,,
chr1,161974385,161975171,,593.0,
chr1,162715986,162716291,,,244.0
chr1,162722296,162723473,,296.0,
chr1,162964547,162965661,,,265.0
chr1,163125592,163126311,,,255.0
chr1,163180279,163180578,,,299.0
chr1,163181040,163182091,,,322.5
chr1,163239302,163239845,,430.0,
chr1,163600895,163601503,535.0,417.0,
chr1,163837211,163838315,,869.0,
chr1,163906478,163906974,,,496.0
chr1,164658058,164658641,352.0,,
chr1,166065387,166066530,1143.0,1143.0,
chr1,166066798,166067088,270.0,290.0,
chr1,166178545,166179744,,,363.0
chr1,166864078,166864303,225.0,,
chr1,166896042,166896839,,797.0,
chr1,167390403,167391735,,,1332.0
chr1,167693541,167694535,289.0,,
chr1,167732496,167732914,,418.0,
chr1,167733224,167733667,,443.0,
chr1,167767721,167768039,,318.0,
chr1,167774558,167775856,477.0,,
chr1,167932547,167933737,,,1190.0
chr1,168290332,168290758,,,426.0
chr1,171461354,171462588,,,845.0
chr1,172797802,172798180,,,14.0
chr1,172798669,172799008,,,220.0
chr1,172902303,172903035,,,193.0
chr1,172903234,172903475,,,241.0
chr1,173053086,173053477,,,391.0
chr1,173177006,173177682,308.0,,
chr1,173258877,173259562,,,323.0
chr1,173432601,173434212,,,656.0
chr1,173869270,173869928,424.0,,
chr1,173945432,173945918,454.0,,
chr1,174443686,174444546,385.0,,
chr1,175328688,175329101,,318.0,
chr1,175970923,175971431,,508.0,
chr1,177561410,177562411,,,615.0
chr1,178792312,178792733,,,366.0
chr1,180248261,180249482,,,690.5
chr1,180298806,180299837,,,842.0
chr1,182125879,182126526,,,318.0
chr1,182129653,182129947,,294.0,
chr1,182155953,182156853,,,900.0
chr1,182333382,182334272,,890.0,
chr1,182650593,182650819,,,126.0
chr1,182698149,182698988,,,839.0
chr1,182780545,182781344,488.0,,
chr1,184559836,184560036,,,200.0
chr1,185837939,185838228,,289.0,
chr1,185857395,185858676,,,1157.0
chr1,186648355,186648781,,,426.0
chr1,186677856,186678124,247.0,,
chr1,189132265,189132927,,,424.0
chr1,192886371,192887296,400.0,,
chr1,192926563,192927088,525.0,,
chr1,193017424,193018279,533.0,855.0,
chr1,193048022,193049095,,,182.0
chr1,193215243,193215621,,,378.0
chr1,193244798,193245851,,,407.0
chr1,193269543,193270269,,,726.0
chr1,193303663,193304221,,,558.0
chr1,194999223,195000163,,759.0,
chr1,197067531,197068620,601.0,,317.8333333333333
chr10,3363186,3363815,,629.0,
chr10,5733513,5734521,,,639.0
chr10,7382343,7383349,264.0,,
chr10,7499950,7500380,,,323.0
chr10,7544291,7544913,,613.0,
chr10,7545902,7546314,,412.0,
chr10,7558875,7559910,457.0,,
chr10,7712484,7712770,,286.0,
chr10,8225267,8226477,,1021.0,
chr10,8236610,8237128,,518.0,
chr10,8237239,8237831,,168.0,
chr10,10277240,10277452,,,13.0
chr10,10277779,10278204,,,62.0
chr10,11063333,11063660,,,327.0
chr10,12642237,12643299,,,422.0
chr10,13552351,13553249,,898.0,
chr10,13684460,13685191,,,398.0
chr10,13702204,13703254,,944.0,
chr10,13713067,13713697,515.0,630.0,
chr10,13718670,13719111,441.0,,
chr10,17403603,17404099,,,496.0
chr10,17441833,17443522,,,488.0
chr10,17954510,17955480,,,850.0
chr10,18564530,18565301,,,389.0
chr10,18684607,18685046,,439.0,
chr10,18891521,18892101,,465.0,
chr10,19223734,19224539,320.0,,
chr10,19225712,19226353,,641.0,
chr10,19297282,19298658,348.0,,
chr10,19659146,19659383,237.0,,
chr10,21015489,21016398,,,438.5
chr10,21714155,21714678,,,456.0
chr10,21862222,21862795,555.0,,
chr10,22019107,22019565,,458.0,
chr10,23532108,23532308,,,64.0
chr10,24589414,24590225,,,509.0
chr10,26045030,26045541,399.0,,
chr10,28238102,28238471,,369.0,
chr10,28313338,28314145,372.0,,
chr10,28414826,28415156,,330.0,
chr10,30269846,30270237,,391.0,
chr10,30563459,30563690,,,194.0
chr10,33830386,33831322,,570.0,
chr10,38890859,38891910,,,434.0
chr10,39332551,39333488,,,791.0
chr10,39345132,39345767,,,402.3333333333333
chr10,39679693,39680366,,,550.0
chr10,40091314,40092013,,,699.0
chr10,40139686,40140025,,339.0,
chr10,40171574,40172179,463.0,,
chr10,41007892,41008250,,,227.0
chr10,41008570,41008927,,,129.0
chr10,41529288,41530581,,,395.0
chr10,41657006,41657498,398.0,,
chr10,41698338,41699070,,732.0,
chr10,41777077,41777451,374.0,,
chr10,42617259,42617918,,659.0,
chr10,43260236,43261103,,,106.0
chr10,43703697,43704053,304.0,,
chr10,43717008,43717611,329.0,,
chr10,43868710,43868931,,,221.0
chr10,44163684,44164036,,159.0,
chr10,44178255,44178911,,,656.0
chr10,44541276,44542021,474.0,,
chr10,51173355,51173979,,624.0,
chr10,51174107,51174829,,722.0,
chr10,51952469,51952681,,,95.0
chr10,53180878,53181535,384.0,,
chr10,53245339,53245854,,515.0,
chr10,53341348,53341737,389.0,,
chr10,53746559,53746910,,351.0,
chr10,53793654,53793929,,,263.0
chr10,53794129,53794849,,,175.0
chr10,53837527,53838063,411.0,,
chr10,57251856,57252629,,,641.0
chr10,57514259,57515366,,,722.0
chr10,57554976,57555537,,,481.0
chr10,58893600,58894067,223.0,,
chr10,59040492,59041557,,1065.0,
chr10,59740106,59740857,,,412.0
chr10,60215122,60215895,,,589.0
chr10,60790274,60791318,,,520.0
chr10,60914289,60914682,,,393.0
chr10,61968840,61969373,39.0,,
chr10,62005775,62007423,,1267.0,
chr10,62706197,62707085,,,219.0
chr10,62892090,62893177,,,652.0
chr10,66326933,66328202,,954.0,
chr10,66383454,66383654,,,139.0
chr10,66415967,66416384,288.0,,
chr10,66528277,66528597,,320.0,
chr10,66559774,66560248,,,474.0
chr10,66959992,66960928,,917.0,
chr10,67070392,67070846,,454.0,
chr10,67120682,67121273,,591.0,
chr10,67460906,67461188,,,234.0
chr10,67498477,67499673,306.0,,
chr10,67502534,67503048,,514.0,
chr10,67701675,67702503,,,124.0
chr10,67739130,67740857,,,944.0
chr10,67908238,67909241,,,587.0
chr10,68003853,68005097,,,474.5
chr10,69595831,69596386,291.0,,
chr10,69643437,69644184,,,271.0
chr10,70862072,70862372,279.0,,
chr10,74685319,74685736,,381.0,
chr10,74897100,74897691,450.0,,
chr10,75301878,75302257,,379.0,
chr10,76485444,76485805,,,213.0
chr10,77044237,77045160,,,159.0
chr10,77089417,77089896,,,454.0
chr10,77622149,77622356,,,207.0
chr10,77707299,77708133,,,432.0
chr10,77760556,77761850,,,293.0
chr10,78036909,78038022,,,260.0
chr10,78879843,78880680,,,633.0
chr10,79209084,79209612,,,110.0
chr10,79447074,79447960,,,534.0
chr10,79689654,79689936,282.0,,
chr10,79896328,79897095,767.0,,354.0
chr10,80139871,80140167,,,54.0
chr10,80140768,80141272,,,302.5
chr10,80226137,80226663,,526.0,341.0
chr10,80260647,80261695,484.0,,
chr10,80568215,80569276,337.0,,
chr10,80639224,80640010,,,66.0
chr10,80748366,80748858,,,492.0
chr10,80972991,80973462,471.0,,
chr10,81001291,81001634,128.0,,
chr10,82321625,82322260,,,91.0
chr10,82447670,82448696,199.0,,
chr10,82466983,82467656,393.0,673.0,
chr10,83903336,83903566,,,230.0
chr10,84038793,84040371,,,1313.0
chr10,84507378,84507850,,,245.0
chr10,89194346,89195401,355.0,,
chr10,89208190,89208658,,,407.0
chr10,90616738,90617364,,,307.0
chr10,90633273,90633664,,,391.0
chr10,90634115,90634806,,,21.0
chr10,90644048,90645617,,,476.0
chr10,92184438,92185559,,,1121.0
chr10,92533225,92533712,303.0,,
chr10,92586829,92587466,440.0,,
chr10,92607922,92608276,,,272.0
chr10,92624265,92624600,,335.0,
chr10,92642401,92643063,,,440.0
chr10,92651225,92651457,,232.0,
chr10,92806153,92806407,197.0,,
chr10,93610106,93611323,384.0,,95.0
chr10,94007982,94008820,,,468.0
chr10,94290773,94291631,491.0,,
chr10,94323281,94323857,,576.0,
chr10,94727447,94727817,,,226.0
chr10,94776079,94776916,,662.0,
chr10,94786037,94786994,,,443.0
chr10,95143666,95143956,,,290.0
chr10,95342535,95343184,264.0,,
chr10,95700877,95701300,,102.0,
chr10,95833345,95834117,,772.0,
chr10,95836820,95837432,,612.0,
chr10,95863254,95863920,478.0,666.0,
chr10,96049378,96049798,,420.0,
chr10,96062161,96062774,154.0,613.0,
chr10,96084318,96084564,,,231.0
chr10,96091012,96091314,,302.0,
chr10,96153297,96153985,,,630.0
chr10,96187222,96187929,505.0,,
chr10,98207975,98208835,,860.0,
chr10,98589465,98590894,,,1128.0
chr10,98632356,98632696,,,340.0
chr10,98725414,98726146,,,713.0
chr10,98816580,98816938,,,296.5
chr10,98903664,98904080,,,348.5
chr10,98922355,98923097,,690.0,483.5
chr10,99018613,99018941,,,328.0
chr10,107770625,107770990,,,222.0
chr10,110650705,110652258,,1192.0,
chr10,110953156,110954254,,,232.0
chr10,111020198,111020526,,,328.0
chr10,112365468,112366425,322.0,,
chr10,114687520,114687788,,,250.0
chr10,115924104,115924740,321.0,,
chr10,116001941,116002585,,644.0,
chr10,116518962,116519177,,,163.0
chr10,117147114,117148146,,,423.0
chr10,117297919,117298405,486.0,,
chr10,117335381,117335841,,,258.0
chr10,117346830,117347215,,158.0,
chr10,117355514,117356137,478.0,,
chr10,117375646,117376066,,420.0,
chr10,117389166,117389525,,,134.0
chr10,117443890,117444689,398.0,,
chr10,117609412,117609943,438.0,,
chr10,118203025,118203433,,,375.5
chr10,120705899,120706224,325.0,,
chr10,120801811,120802895,,,89.0
chr10,120803099,120803414,,,292.0
chr10,120866209,120866562,,,35.0
chr10,120866953,120867415,,,189.0
chr10,122164289,122164796,395.0,,
chr10,122528897,122529099,,,202.0
chr10,126578088,126578394,,161.0,
chr10,126578492,126579090,,598.0,535.0
chr10,126587439,126588136,,697.0,
chr10,126726325,126726640,,,166.0
chr10,126727367,126727998,,,57.0
chr10,127023296,127023690,,,394.0
chr10,127181804,127182012,,,208.0
chr10,127519869,127520515,,,315.0
chr10,127527986,127528850,,,31.0
chr10,127529032,127529250,,,218.0
chr10,127648673,127649132,,,459.0
chr10,127740113,127740925,,,284.0
chr10,127774475,127775181,,,43.0
chr10,127781851,127782413,438.0,,
chr10,127941671,127942229,558.0,,
chr10,128100756,128101242,134.0,,
chr10,128133079,128133790,,,550.0
chr10,129530026,129530337,,,205.0
chr10,129759608,129760172,339.0,,
chr11,3004686,3005840,,,232.0
chr11,3038431,3038732,,,301.0
chr11,3042314,3042516,,,202.0
chr11,3044774,3045175,,,401.0
chr11,3045767,3046595,,,828.0
chr11,3053584,3054245,,,661.0
chr11,3054893,3055179,,,286.0
chr11,3057363,3057693,,,330.0
chr11,3057829,3058196,,,367.0
chr11,3063578,3064117,,,539.0
chr11,3064512,3064784,,,272.0
chr11,3065510,3065818,,,308.0
chr11,3069522,3069809,,,287.0
chr11,3071153,3071532,,,379.0
chr11,3075912,3076838,,,902.0
chr11,3076978,3077317,,,339.0
chr11,3078013,3078217,,,204.0
chr11,3081114,3081710,,,567.0
chr11,3084967,3085202,,,235.0
chr11,3085861,3086079,,,218.0
chr11,3086675,3087017,,,342.0
chr11,3092999,3093735,736.0,,736.0
chr11,3095749,3096808,,,522.5
chr11,3098901,3099103,,,202.0
chr11,3102137,3102554,360.0,,
chr11,3287042,3287464,,,173.0
chr11,3863579,3864327,,,1.0
chr11,4103287,4104025,673.0,738.0,
chr11,5115428,5115637,,,174.0
chr11,5196629,5197032,,403.0,15.0
chr11,5197751,5197958,207.0,,
chr11,5441134,5441559,,,196.0
chr11,5900068,5900901,377.0,,
chr11,6174606,6175186,445.0,,
chr11,6344086,6344876,,,562.0
chr11,6428477,6428960,444.0,,
chr11,6525828,6526353,,,525.0
chr11,11464183,11464947,542.0,,
chr11,11611747,11612084,337.0,,
chr11,11625470,11625735,204.0,,
chr11,11625798,11626601,132.0,,
chr11,19892885,19893245,,,360.0
chr11,20148838,20149804,388.0,,
chr11,20442642,20443552,,,910.0
chr11,21003276,21003493,,73.0,
chr11,21122906,21123272,,366.0,
chr11,21124087,21124438,,351.0,
chr11,22592786,22593687,398.0,901.0,
chr11,22713558,22714689,,1131.0,
chr11,23670078,23671587,,,435.0
chr11,23755408,23756044,,337.0,
chr11,23756160,23756360,,200.0,
chr11,26540229,26540891,,662.0,
chr11,30853878,30854843,,,853.0
chr11,31849146,31849564,,153.0,
chr11,33838756,33840052,611.0,,
chr11,40507774,40508232,,,144.0
chr11,40546733,40547651,,,647.0
chr11,43172062,43172733,,666.0,
chr11,43198642,43199145,281.0,,
chr11,45758013,45758759,331.0,,
chr11,45768563,45769204,,,421.0
chr11,45896900,45897491,,553.0,
chr11,46185810,46186317,,,154.0
chr11,46202848,46203450,498.0,,
chr11,46275462,46275829,,367.0,
chr11,46280354,46280822,,468.0,
chr11,46287640,46288139,,499.0,
chr11,48631774,48632148,,,280.0
chr11,48896700,48897033,,,69.0
chr11,49947735,49948052,317.0,,
chr11,50023522,50024560,,,723.0
chr11,51076024,51076853,364.0,,
chr11,51501991,51502715,419.0,,
chr11,51889396,51890121,,613.0,
chr11,52127511,52128161,647.0,,
chr11,53520378,53521103,441.0,,
chr11,53608226,53609059,,,666.0
chr11,54305944,54306372,,428.0,
chr11,54615309,54616079,,770.0,
chr11,54680314,54680519,205.0,,
chr11,54749999,54750258,,,241.0
chr11,54769160,54769901,,,741.0
chr11,54911048,54911893,,,64.0
chr11,54934196,54934822,,,399.0
chr11,57821997,57822385,,,331.0
chr11,57909608,57910137,,,194.66666666666666
chr11,57981613,57982009,,,396.0
chr11,58114513,58114954,,,2.0
chr11,58115281,58116338,,,992.0
chr11,58752127,58752587,294.0,,
chr11,58976649,58977487,,,314.0
chr11,59021710,59022227,226.0,,
chr11,59859422,59860209,378.0,,
chr11,60748711,60749234,,,28.0
chr11,60988291,60989108,,,476.0
chr11,61466396,61467019,,623.0,
chr11,61667599,61668165,,,262.0
chr11,62364266,62365273,,,81.0
chr11,63721954,63722384,427.0,,
chr11,63850999,63851597,333.0,,
chr11,64000557,64000869,,,229.0
chr11,64792125,64792757,,,544.0
chr11,65607943,65608607,374.0,625.0,
chr11,68264679,68265287,,608.0,
chr11,68312067,68312874,,807.0,
chr11,68540260,68540553,208.0,,
chr11,68876403,68876720,,,317.0
chr11,68908200,68908889,,,649.0
chr11,68937198,68937490,,,224.5
chr11,68938842,68939371,,,114.0
chr11,69179889,69180625,461.0,,
chr11,69214732,69215081,,,349.0
chr11,69222819,69223430,,29.0,
chr11,69224141,69224565,,424.0,
chr11,69393622,69394006,,,13.0
chr11,69571539,69573027,,,1036.0
chr11,69714320,69715387,,,362.0
chr11,69761635,69762001,,,9.0
chr11,69804446,69804656,210.0,,
chr11,69804851,69805191,9.0,,
chr11,70042463,70042700,188.0,,
chr11,70053407,70053607,,,67.0
chr11,70245580,70246256,,,676.0
chr11,70338462,70339103,,,641.0
chr11,70617118,70617659,,541.0,
chr11,70817571,70818257,,,352.0
chr11,72420493,72421059,,,75.0
chr11,72421836,72422211,,,355.0
chr11,75780322,75780882,,,250.0
chr11,75992687,75993329,116.0,,
chr11,76030791,76031315,306.0,,
chr11,76292661,76293631,275.0,,
chr11,76659003,76659606,,603.0,
chr11,77009291,77009507,,,216.0
chr11,77199584,77200279,,668.0,
chr11,77499215,77499981,387.0,,
chr11,77989829,77990189,,76.0,
chr11,77991273,77992179,,170.0,103.0
chr11,78136354,78136745,,,391.0
chr11,78349457,78350124,534.0,,
chr11,78364033,78364591,379.0,,
chr11,78643750,78644046,237.0,,
chr11,78700622,78700827,,,205.0
chr11,79067613,79068417,488.0,,
chr11,79467888,79468179,,,291.0
chr11,80196253,80197093,112.0,,
chr11,82683530,82684059,,,274.0
chr11,83286114,83287206,,,1092.0
chr11,83363579,83364196,493.0,,
chr11,84326752,84327366,,,82.0
chr11,84940188,84940717,349.0,,
chr11,85166035,85166867,,,404.0
chr11,85267500,85267824,306.0,,
chr11,85891305,85892153,320.0,,
chr11,86400311,86401099,,788.0,758.0
chr11,86570900,86571897,423.0,,
chr11,87236093,87236802,,,651.0
chr11,87565118,87565420,302.0,,
chr11,87572279,87572916,219.0,,
chr11,87573011,87573399,388.0,,
chr11,87920987,87921187,,200.0,
chr11,88725687,88726253,,,566.0
chr11,88885350,88885826,,,334.0
chr11,94410102,94410741,,,506.0
chr11,94452771,94453335,,,555.0
chr11,94861859,94862203,344.0,,
chr11,97176944,97177395,,,451.0
chr11,97296092,97296716,,,402.0
chr11,97848921,97849199,278.0,,
chr11,98331165,98331833,643.0,,
chr11,98341327,98341608,217.0,,
chr11,98358695,98359002,307.0,,
chr11,98543398,98544139,418.0,,
chr11,98590603,98590981,,,362.0
chr11,98636594,98636794,,,200.0
chr11,98966192,98966822,324.0,,
chr11,99032038,99032580,,517.0,
chr11,100180892,100181989,,,1097.0
chr11,100683731,100684080,,,349.0
chr11,100703440,100703677,,,217.0
chr11,101087518,101087829,,,311.0
chr11,101413087,101414395,,,8.0
chr11,101488205,101489316,,,458.5
chr11,101593987,101594659,,,672.0
chr11,102328381,102328889,,,459.0
chr11,102742155,102742834,261.0,,
chr11,102889430,102890222,,,342.0
chr11,102994063,102994750,,,687.0
chr11,103123787,103124051,,264.0,
chr11,104222952,104223458,,506.0,
chr11,105945263,105946005,550.0,,
chr11,106077449,106078664,,,363.0
chr11,106417997,106418197,,,140.0
chr11,106549507,106550034,289.0,,
chr11,106613418,106613881,364.0,,
chr11,106963741,106964344,,603.0,
chr11,106985649,106986152,380.0,,
chr11,107254955,107255827,,827.0,
chr11,107289328,107289725,,,397.0
chr11,107313329,107313720,,391.0,
chr11,108772067,108772606,424.0,,
chr11,108872958,108873422,464.0,,464.0
chr11,109281086,109282227,248.0,,
chr11,109356291,109356618,,,293.0
chr11,109357241,109357893,,,311.0
chr11,110260058,110260671,427.0,,
chr11,115138094,115138884,,,260.0
chr11,115273941,115274296,,,257.0
chr11,115274469,115275084,,,404.0
chr11,115502348,115502887,539.0,,
chr11,116059924,116060598,,,674.0
chr11,116238405,116238945,,540.0,
chr11,116267529,116268184,,655.0,
chr11,116280221,116280474,,253.0,
chr11,116351636,116352146,,,289.0
chr11,117460456,117460827,371.0,,
chr11,117824674,117825068,,,390.0
chr11,117826866,117827332,,,7.0
chr11,117851277,117851497,,220.0,
chr11,118902030,118902688,,,658.0
chr11,119027210,119027815,,605.0,
chr11,119128962,119129430,,,468.0
chr11,119464050,119464451,,,401.0
chr11,120094004,120094261,,,257.0
chr12,3109786,3110231,330.0,,445.0
chr12,4233741,4234621,628.0,,
chr12,4880998,4881435,,,437.0
chr12,4923848,4924434,321.0,,
chr12,8357985,8358518,,533.0,
chr12,8666641,8666999,358.0,,
chr12,16013162,16013920,,732.0,
chr12,16176856,16177433,,577.0,
chr12,16178384,16178859,,475.0,
chr12,17513951,17514336,,,229.5
chr12,21457094,21457900,428.0,,
chr12,25277924,25278657,,733.0,
chr12,25780772,25781314,,,9.0
chr12,25849582,25850014,329.0,,
chr12,25951621,25951895,,,244.0
chr12,25990647,25991201,,554.0,
chr12,27140994,27141604,,,563.0
chr12,29359832,29360673,,,301.5
chr12,32183923,32185279,,,905.0
chr12,32634892,32635801,,,777.0
chr12,33638402,33639853,,,1249.0
chr12,33867434,33868358,,75.0,
chr12,33986981,33988270,,,329.0
chr12,36622899,36623143,,102.0,
chr12,36623353,36623620,,267.0,
chr12,36882094,36882422,328.0,,
chr12,40763320,40765132,698.0,,
chr12,40948811,40950321,278.0,,
chr12,45310127,45311644,,,647.0
chr12,52929761,52931322,,,546.0
chr12,52945925,52946333,,,392.0
chr12,52966154,52966395,,241.0,
chr12,52966674,52967762,,133.0,
chr12,53103787,53104051,,,164.0
chr12,55292980,55293322,,,160.5
chr12,55394117,55394652,454.0,,
chr12,55413899,55414851,521.0,,
chr12,55667727,55667927,,,200.0
chr12,55797266,55798267,,,544.0
chr12,56150722,56151319,,597.0,
chr12,56589545,56590434,,889.0,
chr12,58312392,58313174,,,590.0
chr12,60307337,60308490,,,328.0
chr12,66166090,66167115,387.0,,
chr12,70462195,70462839,266.0,,
chr12,70638634,70639403,325.0,,27.0
chr12,71179637,71180251,589.0,614.0,
chr12,71814555,71814983,,,419.0
chr12,72075428,72076192,,,351.0
chr12,73033659,73034405,,,358.0
chr12,73765379,73766264,,,69.0
chr12,73945035,73945724,,,172.0
chr12,74699132,74699639,507.0,,
chr12,74705529,74706473,,868.0,
chr12,74793331,74793668,337.0,,
chr12,74816465,74817286,,568.0,
chr12,74821385,74822072,462.0,,
chr12,74880295,74880753,387.0,,295.5
chr12,74942858,74943707,369.0,849.0,
chr12,74989081,74989431,,350.0,
chr12,75996035,75996510,,475.0,
chr12,76697007,76697877,,,512.0
chr12,77355862,77356737,,,226.0
chr12,77634243,77634598,,,55.0
chr12,77634830,77635593,,,134.0
chr12,77648983,77649243,,,260.0
chr12,77866267,77867047,413.0,,
chr12,78062799,78063709,,,810.0
chr12,78178391,78179053,,,595.0
chr12,79306831,79307382,,,501.0
chr12,80291801,80293071,237.0,,252.0
