,chr,start,end,bp_overlap,bed
324,chr15,89203692,89204646,394,CD8
325,chr15,89306370,89307350,361,CD8
326,chr15,97203024,97204850,695,CD8
327,chr15,97494179,97494850,241,CD8
328,chr15,98823061,98823293,184,CD8
329,chr15,99082161,99082715,255,CD8
330,chr15,101098013,101098311,152,CD8
331,chr15,102069676,102069876,200,CD8
332,chr16,4474957,4475582,258,CD8
333,chr16,4583806,4584122,316,CD8
334,chr16,10815154,10815385,202,CD8
335,chr16,11144080,11144384,220,CD8
336,chr16,11202812,11203864,335,CD8
337,chr16,11285079,11285857,220,CD8
338,chr16,13671702,13672306,212,CD8
339,chr16,18460075,18460514,364,CD8
340,chr16,20610575,20611015,371,CD8
341,chr16,22431911,22432313,402,CD8
342,chr16,23274460,23274960,314,CD8
343,chr16,32163467,32163821,354,CD8
344,chr16,32812961,32813451,433,CD8
345,chr16,33343612,33344125,399,CD8
346,chr16,33687707,33688254,277,CD8
347,chr16,43690183,43690996,707,CD8
348,chr16,45025418,45025850,370,CD8
349,chr16,49774759,49775041,282,CD8
350,chr16,49790860,49791531,467,CD8
351,chr16,49798897,49799331,431,CD8
352,chr16,52081849,52082364,515,CD8
353,chr16,52451708,52453750,282,CD8
354,chr16,57391582,57391782,200,CD8
355,chr16,58670072,58670856,335,CD8
356,chr16,59469621,59470096,461,CD8
357,chr16,64757429,64759410,317,CD8
358,chr16,75908961,75909758,259,CD8
359,chr16,78237139,78237386,247,CD8
360,chr16,78563459,78564853,174,CD8
361,chr16,87661315,87662288,310,CD8
362,chr16,89835833,89836472,447,CD8
363,chr16,89848979,89849785,627,CD8
364,chr16,89973206,89973793,452,CD8
365,chr16,89986093,89986726,449,CD8
366,chr16,91073716,91074076,7,CD8
367,chr16,91448286,91448703,417,CD8
368,chr16,91470762,91471060,298,CD8
369,chr16,91491136,91491506,326,CD8
370,chr16,92654135,92654432,297,CD8
371,chr16,95970833,95972294,585,CD8
372,chr17,5125198,5125663,442,CD8
373,chr17,5801945,5802788,393,CD8
374,chr17,7368359,7368728,366,CD8
375,chr17,13200451,13201305,388,CD8
376,chr17,13744737,13745263,437,CD8
377,chr17,13745711,13746019,262,CD8
378,chr17,13819313,13820215,297,CD8
379,chr17,25321123,25321632,509,CD8
380,chr17,25910554,25910754,192,CD8
381,chr17,25981281,25981739,44,CD8
382,chr17,28428443,28428643,200,CD8
383,chr17,28749521,28750069,485,CD8
384,chr17,31360787,31361252,465,CD8
385,chr17,32457654,32458620,442,CD8
386,chr17,33169813,33170560,220,CD8
387,chr17,34057612,34057919,223,CD8
388,chr17,34115569,34116161,210,CD8
389,chr17,34535033,34535351,309,CD8
390,chr17,36368249,36368664,360,CD8
391,chr17,39980072,39981816,1744,CD8
392,chr17,39982025,39982593,568,CD8
393,chr17,39982702,39983468,766,CD8
394,chr17,39984503,39985663,1160,CD8
395,chr17,43402230,43402533,223,CD8
396,chr17,44693943,44694620,434,CD8
397,chr17,44791378,44792046,525,CD8
398,chr17,47430097,47430596,441,CD8
399,chr17,47701655,47701899,244,CD8
400,chr17,50870435,50870637,24,CD8
401,chr17,52301673,52302648,573,CD8
402,chr17,57199307,57200356,656,CD8
403,chr17,71322671,71323294,623,CD8
404,chr17,79698148,79698679,382,CD8
405,chr17,80900555,80900969,179,CD8
406,chr17,83706309,83706509,200,CD8
407,chr17,83711740,83712251,511,CD8
408,chr17,84053933,84054611,392,CD8
409,chr17,84515604,84516342,499,CD8
410,chr17,84732125,84732827,441,CD8
411,chr17,87251834,87252404,448,CD8
412,chr18,3005649,3005988,339,CD8
413,chr18,24811670,24813134,300,CD8
414,chr18,32226908,32228057,320,CD8
415,chr18,34943052,34943619,362,CD8
416,chr18,36101840,36102376,458,CD8
417,chr18,38642971,38643541,507,CD8
418,chr18,39242681,39243140,415,CD8
419,chr18,39678709,39679367,219,CD8
420,chr18,40467721,40467921,200,CD8
421,chr18,42434530,42435268,537,CD8
422,chr18,50183716,50184091,375,CD8
423,chr18,55130497,55130746,148,CD8
424,chr18,64648070,64649045,424,CD8
425,chr18,67439952,67440743,461,CD8
426,chr18,67848086,67848551,281,CD8
427,chr18,67883798,67885276,466,CD8
428,chr18,74375421,74376672,309,CD8
429,chr18,74427508,74428286,104,CD8
430,chr18,75536924,75537842,516,CD8
431,chr18,82672985,82673698,458,CD8
432,chr18,89375274,89376135,830,CD8
433,chr18,89402915,89403481,445,CD8
434,chr19,4119609,4120129,388,CD8
435,chr19,4878407,4878893,395,CD8
436,chr19,7568530,7569332,89,CD8
437,chr19,10913523,10913874,292,CD8
438,chr19,11591363,11591737,374,CD8
439,chr19,12101069,12101591,349,CD8
440,chr19,12869993,12871519,389,CD8
441,chr19,15998863,15999792,558,CD8
442,chr19,25058346,25058953,431,CD8
443,chr19,29528366,29529135,370,CD8
444,chr19,29722005,29723110,408,CD8
445,chr19,31284836,31285534,433,CD8
446,chr19,32349514,32350530,441,CD8
447,chr19,32943558,32944139,291,CD8
448,chr19,33155897,33156436,319,CD8
449,chr19,33336916,33337234,230,CD8
450,chr19,33441164,33441481,291,CD8
451,chr19,40686491,40687143,323,CD8
452,chr19,41876144,41876844,307,CD8
453,chr19,43598719,43599461,542,CD8
454,chr19,44358501,44359278,177,CD8
455,chr19,53260017,53260388,371,CD8
456,chr19,53388266,53388984,457,CD8
457,chr19,53517550,53518204,443,CD8
458,chr19,57191192,57191392,81,CD8
459,chr19,58218192,58218750,413,CD8
460,chr19,61275306,61276089,378,CD8
461,chr2,5300188,5300551,184,CD8
462,chr2,6230427,6230978,454,CD8
463,chr2,6641683,6642367,438,CD8
464,chr2,9485977,9486476,310,CD8
465,chr2,10236310,10236772,286,CD8
466,chr2,11456971,11457604,264,CD8
467,chr2,11538444,11538773,329,CD8
468,chr2,18446064,18446343,261,CD8
469,chr2,22599836,22600544,268,CD8
470,chr2,22660973,22661488,515,CD8
471,chr2,25389615,25390109,354,CD8
472,chr2,29528184,29528645,392,CD8
473,chr2,30219423,30219911,348,CD8
474,chr2,30450284,30450793,488,CD8
475,chr2,30970626,30970905,279,CD8
476,chr2,31917732,31917970,238,CD8
477,chr2,32218273,32218847,48,CD8
478,chr2,32350709,32351365,572,CD8
479,chr2,32549489,32549959,453,CD8
480,chr2,34627124,34628242,659,CD8
481,chr2,35303984,35304322,263,CD8
482,chr2,35837413,35837769,347,CD8
483,chr2,37627106,37627755,559,CD8
484,chr2,38327304,38327744,440,CD8
485,chr2,38391611,38392746,499,CD8
486,chr2,60116761,60117072,289,CD8
487,chr2,60256206,60256500,294,CD8
488,chr2,60612453,60613138,453,CD8
489,chr2,60683308,60683824,453,CD8
490,chr2,66022597,66023183,319,CD8
491,chr2,68268379,68269024,513,CD8
492,chr2,68309255,68309696,292,CD8
493,chr2,70499219,70500106,489,CD8
494,chr2,70713244,70713444,200,CD8
495,chr2,72120685,72121205,520,CD8
496,chr2,72695314,72696031,335,CD8
497,chr2,84619292,84619973,462,CD8
498,chr2,90404628,90405130,333,CD8
499,chr2,90927740,90928024,284,CD8
500,chr2,92273825,92274645,403,CD8
501,chr2,93264663,93265259,531,CD8
502,chr2,93311324,93311673,280,CD8
503,chr2,98502376,98503113,737,CD8
504,chr2,98505133,98505418,270,CD8
505,chr2,98506384,98507488,1104,CD8
506,chr2,102652864,102653411,331,CD8
507,chr2,103475884,103476172,288,CD8
508,chr2,117167830,117169204,701,CD8
509,chr2,118687383,118687960,305,CD8
510,chr2,119076569,119076906,337,CD8
511,chr2,119114048,119114678,560,CD8
512,chr2,124558194,124558816,512,CD8
513,chr2,126293497,126293980,334,CD8
514,chr2,127095452,127096614,286,CD8
515,chr2,128325275,128325929,558,CD8
516,chr2,134469112,134470184,278,CD8
517,chr2,139891914,139893042,430,CD8
518,chr2,150864476,150865625,283,CD8
519,chr2,151319662,151320464,260,CD8
520,chr2,153351607,153351933,326,CD8
521,chr2,156005120,156005523,397,CD8
522,chr2,158235159,158235723,528,CD8
523,chr2,163054710,163055241,425,CD8
524,chr2,165147189,165147416,227,CD8
525,chr2,166481781,166482668,681,CD8
526,chr2,166580285,166580574,289,CD8
527,chr2,167176975,167177297,150,CD8
528,chr2,167631260,167631744,454,CD8
529,chr2,168421230,168421541,272,CD8
530,chr2,173055064,173055829,404,CD8
531,chr2,179991563,179992387,492,CD8
532,chr2,181652128,181652532,404,CD8
533,chr2,181665427,181665664,237,CD8
534,chr3,5860391,5860862,301,CD8
535,chr3,9801638,9802344,220,CD8
536,chr3,20122528,20123591,334,CD8
537,chr3,36470786,36471485,332,CD8
538,chr3,36752638,36753622,302,CD8
539,chr3,40548725,40550503,425,CD8
540,chr3,41546151,41546961,326,CD8
541,chr3,52001853,52002663,438,CD8
542,chr3,52262355,52263041,619,CD8
543,chr3,52302368,52303249,399,CD8
544,chr3,52644055,52644778,451,CD8
545,chr3,52682055,52682678,530,CD8
546,chr3,54883991,54884438,371,CD8
547,chr3,60276211,60276647,233,CD8
548,chr3,60405631,60405911,280,CD8
549,chr3,69009171,69010209,403,CD8
550,chr3,82884627,82884995,332,CD8
551,chr3,83896751,83897306,369,CD8
552,chr3,83959273,83959958,410,CD8
553,chr3,84485572,84486089,342,CD8
554,chr3,84652647,84653134,287,CD8
555,chr3,85946281,85947005,397,CD8
556,chr3,86641120,86641657,389,CD8
557,chr3,87327632,87328045,367,CD8
558,chr3,87945459,87946428,468,CD8
559,chr3,89676056,89676580,442,CD8
560,chr3,95189526,95190041,456,CD8
561,chr3,96073273,96073884,220,CD8
562,chr3,96360916,96361320,404,CD8
563,chr3,96384041,96384428,387,CD8
564,chr3,96685619,96686512,357,CD8
565,chr3,101049253,101049494,222,CD8
566,chr3,102799275,102800206,325,CD8
567,chr3,105571477,105571858,301,CD8
568,chr3,105609692,105609969,181,CD8
569,chr3,106590909,106591891,316,CD8
570,chr3,106883691,106884224,390,CD8
571,chr3,107499179,107499849,408,CD8
572,chr3,108713872,108715004,313,CD8
573,chr3,109155166,109155702,364,CD8
574,chr3,116210173,116211344,351,CD8
575,chr3,116365113,116365841,263,CD8
576,chr3,121250697,121251350,456,CD8
577,chr3,123210834,123212060,295,CD8
578,chr3,126363142,126364036,484,CD8
579,chr3,130512874,130513258,270,CD8
580,chr3,130814792,130815650,466,CD8
581,chr3,130910739,130912104,488,CD8
582,chr3,135351963,135352447,209,CD8
583,chr3,135381466,135382586,419,CD8
584,chr3,136405579,136406224,606,CD8
585,chr3,137997381,137997584,203,CD8
586,chr3,138405536,138406439,499,CD8
587,chr3,146349454,146349777,323,CD8
588,chr4,3010559,3010781,222,CD8
589,chr4,3501523,3502533,389,CD8
590,chr4,6828924,6829690,398,CD8
591,chr4,8993493,8994043,365,CD8
592,chr4,11648112,11649171,434,CD8
593,chr4,15913425,15914027,391,CD8
594,chr4,32235523,32236665,308,CD8
595,chr4,32344730,32345727,476,CD8
596,chr4,32374967,32375256,289,CD8
597,chr4,32378394,32378877,483,CD8
598,chr4,40786166,40786851,502,CD8
599,chr4,44085287,44085981,338,CD8
600,chr4,44986319,44986733,301,CD8
601,chr4,45309753,45310246,330,CD8
602,chr4,46401701,46402601,412,CD8
603,chr4,46455354,46455864,351,CD8
604,chr4,47332456,47333134,372,CD8
605,chr4,62322299,62323053,304,CD8
606,chr4,62342366,62342929,347,CD8
607,chr4,64158889,64159125,150,CD8
608,chr4,70039055,70039363,306,CD8
609,chr4,73897194,73898778,330,CD8
610,chr4,83063294,83064123,319,CD8
611,chr4,87656297,87656851,356,CD8
612,chr4,102191397,102191628,220,CD8
613,chr4,102384172,102384816,399,CD8
614,chr4,106466785,106467383,465,CD8
615,chr4,108022404,108023117,678,CD8
616,chr4,116854747,116855530,496,CD8
617,chr4,117150775,117151022,247,CD8
618,chr4,120659128,120659538,410,CD8
619,chr4,122550247,122550652,405,CD8
620,chr4,122693569,122694050,350,CD8
621,chr4,123249750,123250021,190,CD8
622,chr4,124429738,124430281,409,CD8
623,chr4,124707010,124707637,328,CD8
624,chr4,125780413,125781336,522,CD8
625,chr4,129470825,129471575,333,CD8
626,chr4,133603556,133604057,430,CD8
627,chr4,133614830,133615035,31,CD8
628,chr4,133662073,133662359,286,CD8
629,chr4,134659817,134660062,245,CD8
630,chr4,134761944,134762490,461,CD8
631,chr4,136913463,136913957,315,CD8
632,chr4,137860315,137860846,449,CD8
633,chr4,140503877,140504333,185,CD8
634,chr4,140508071,140508743,431,CD8
635,chr4,144902265,144902872,362,CD8
636,chr4,148843616,148844022,335,CD8
637,chr4,149148193,149148658,314,CD8
638,chr4,150298265,150299445,501,CD8
639,chr4,154524531,154525268,304,CD8
640,chr4,154975241,154976292,386,CD8
641,chr4,155395604,155396763,517,CD8
642,chr5,8839642,8840154,434,CD8
643,chr5,20916959,20918178,499,CD8
644,chr5,23143073,23143576,412,CD8
645,chr5,23293336,23293797,292,CD8
646,chr5,23399974,23400545,342,CD8
647,chr5,28397534,28398792,502,CD8
648,chr5,30061989,30062849,440,CD8
649,chr5,33677814,33678388,444,CD8
650,chr5,37113655,37114102,365,CD8
651,chr5,38665203,38665425,222,CD8
652,chr5,53784743,53786153,527,CD8
653,chr5,53898626,53899029,357,CD8
654,chr5,53957636,53958434,798,CD8
655,chr5,64431887,64432240,353,CD8
656,chr5,64878880,64879667,371,CD8
657,chr5,65726551,65727269,415,CD8
658,chr5,66292172,66292563,300,CD8
659,chr5,73025881,73026479,344,CD8
660,chr5,77017415,77018019,252,CD8
661,chr5,93562324,93562773,415,CD8
662,chr5,99928631,99929254,518,CD8
663,chr5,100947030,100947870,554,CD8
664,chr5,101013893,101014690,383,CD8
665,chr5,105947489,105948839,199,CD8
666,chr5,106113931,106114390,417,CD8
667,chr5,107688612,107688834,222,CD8
668,chr5,107693882,107694433,488,CD8
669,chr5,107724185,107724599,357,CD8
670,chr5,108494424,108495478,355,CD8
671,chr5,110523215,110524028,428,CD8
672,chr5,110564431,110565285,375,CD8
673,chr5,110713585,110714441,394,CD8
674,chr5,111268453,111269383,638,CD8
675,chr5,112699891,112700687,438,CD8
676,chr5,114280301,114280703,377,CD8
677,chr5,116009161,116010032,363,CD8
678,chr5,118486878,118487282,295,CD8
679,chr5,122841680,122842213,199,CD8
680,chr5,123398997,123399545,438,CD8
681,chr5,124524934,124525473,539,CD8
682,chr5,130322468,130323134,416,CD8
683,chr5,135500488,135501187,261,CD8
684,chr5,139858123,139859156,422,CD8
685,chr5,143894474,143895057,363,CD8
686,chr5,147072468,147072908,426,CD8
687,chr5,147887846,147888524,373,CD8
688,chr5,147970749,147971431,418,CD8
689,chr6,3151351,3151700,270,CD8
690,chr6,15742957,15743923,524,CD8
691,chr6,22299559,22299933,374,CD8
692,chr6,29698262,29698552,290,CD8
693,chr6,29698735,29698950,215,CD8
694,chr6,38292300,38292853,422,CD8
695,chr6,39329183,39330237,468,CD8
696,chr6,41504236,41505195,491,CD8
697,chr6,47728309,47728798,253,CD8
